onet_soc_code,element_id,importance,level,element_type,element_name,derived_from
43-1011.00,2.C.9.b,2.33,2.23,knowledge,Communications and Media,raw
43-2011.00,2.C.1.a,2.79,2.79,knowledge,Administration and Management,raw
43-2011.00,2.C.1.b,3.68,4.63,knowledge,Administrative,raw
43-2011.00,2.C.1.c,1.96,1.04,knowledge,Economics and Accounting,raw
43-2011.00,2.C.1.d,1.47,0.85,knowledge,Sales and Marketing,raw
43-2011.00,2.C.1.e,4.34,5.46,knowledge,Customer and Personal Service,raw
43-2011.00,2.C.1.f,2.52,1.89,knowledge,Personnel and Human Resources,raw
43-2011.00,2.C.10,1.16,0.22,knowledge,Transportation,raw
43-2011.00,2.C.2.a,1.33,0.49,knowledge,Production and Processing,raw
43-2011.00,2.C.2.b,1.08,0.09,knowledge,Food Production,raw
43-2011.00,2.C.3.a,3.49,3.57,knowledge,Computers and Electronics,raw
43-2011.00,2.C.3.b,1.49,1.22,knowledge,Engineering and Technology,raw
43-2011.00,2.C.3.c,1.0,0.0,knowledge,Design,raw
43-2011.00,2.C.3.d,1.01,0.03,knowledge,Building and Construction,raw
43-2011.00,2.C.3.e,1.77,1.41,knowledge,Mechanical,raw
43-2011.00,2.C.4.a,2.45,2.86,knowledge,Mathematics,raw
43-2011.00,2.C.4.b,1.01,0.01,knowledge,Physics,raw
43-2011.00,2.C.4.c,1.05,0.1,knowledge,Chemistry,raw
43-2011.00,2.C.4.d,1.0,0.0,knowledge,Biology,raw
43-2011.00,2.C.4.e,2.33,2.26,knowledge,Psychology,raw
43-2011.00,2.C.4.f,1.47,1.05,knowledge,Sociology and Anthropology,raw
43-2011.00,2.C.4.g,1.3,0.45,knowledge,Geography,raw
43-2011.00,2.C.5.a,1.19,0.21,knowledge,Medicine and Dentistry,raw
43-2011.00,2.C.5.b,1.77,1.78,knowledge,Therapy and Counseling,raw
43-2011.00,2.C.6,1.94,1.98,knowledge,Education and Training,raw
43-2011.00,2.C.7.a,3.85,3.45,knowledge,English Language,raw
